iter	Passed	Remaining
0	1	177
1	3	165
2	5	164
3	6	153
4	7	150
5	9	148
6	11	152
7	12	149
8	14	149
9	16	147
10	18	147
11	19	146
12	21	144
13	23	141
14	24	139
15	26	136
16	27	134
17	29	132
18	30	131
19	32	129
20	33	127
21	35	125
22	37	124
23	38	122
24	40	120
25	42	119
26	43	117
27	44	115
28	46	113
29	48	112
30	49	110
31	51	108
32	52	107
33	54	105
34	56	104
35	57	102
36	59	100
37	60	99
38	62	97
39	63	95
40	65	94
41	66	91
42	67	89
43	69	88
44	70	86
45	72	84
46	73	83
47	75	81
48	77	80
49	78	78
50	80	77
51	82	75
52	83	74
53	84	72
54	85	69
55	86	68
56	87	66
57	89	64
58	90	62
59	91	61
60	93	59
61	95	58
62	96	56
63	98	55
64	100	53
65	101	52
66	103	50
67	104	49
68	106	47
69	108	46
70	110	44
71	111	43
72	113	41
73	114	40
74	116	38
75	119	37
76	121	36
77	122	34
78	124	32
79	125	31
80	126	29
81	127	28
82	129	26
83	130	24
84	132	23
85	133	21
86	135	20
87	136	18
88	139	17
89	140	15
90	142	14
91	143	12
92	145	10
93	147	9
94	148	7
95	149	6
96	151	4
97	153	3
98	154	1
99	155	0
